20090001;20090410;3
20090002;20090001;106
20090003;20090002;17
20090004;20090003;4
20090005;20090004;19
20090006;20090605;6
20090007;20090006;1
20090008;20090007;7
20090009;20090008;22
20090010;20090009;14
20090011;20090010;15
20090012;20090011;31
20090013;20090012;5
20090014;20090013;105
20090015;20090014;296
20090016;20090013;1
20090017;20090016;2
20090019;20090017;343
20090022;20090019;336
20090023;20090019;5
20090024;20090023;21
20090025;20090024;1
20090028;20090023;2
20090030;20090028;7
20090033;20090028;3
20090034;20090033;4
20090035;20090034;2
20090036;20090035;67
20090038;20090036;6
20090039;20090038;54
20090042;20090039;1
20090043;20090042;11
20090044;20090042;7
20090046;20090042;4
20090048;20090046;1
20090049;20090048;20
20090051;20090048;1
20090052;20090051;34
20090053;20090052;16
20090054;20090052;21
20090056;20090054;8
20090057;20090056;17
20090059;20090054;2
20090061;20090057;2
20090062;20090061;6
20090064;20090062;4
20090065;20090057;13
20090073;20090065;14
20090080;20090064;2
20090081;20090080;1
20090083;20090081;7
20090084;20090083;7
20090096;20090084;10
20090100;20090096;4
20090131;20090100;1
20090168;20090131;4
20090244;20090033;58
20090245;20090244;25
20090246;20090245;1
20090250;20090245;27
20090253;20090012;5
20090257;20090250;26
20090258;20090257;1
20090259;20090258;16
20090263;20090253;16
20090265;20090263;16
20090266;20090265;16
20090268;20090266;16
20090278;20090268;17
20090317;20090244;2
20090319;20090244;2
20090325;20090244;38
20090326;20090325;66
20090327;20090326;63
20090330;20090327;8
20090331;20090327;10
20090332;20090331;68
20090334;20090332;4
20090335;20090334;40
20090337;20090335;40
20090338;20090337;26
20090345;20090337;2
20090348;20090345;9
20090350;20090348;16
20090351;20090350;63
20090354;20090351;1
20090355;20090354;39
20090403;20090025;6
20090404;20090025;3
20090405;20090403;100
20090407;20090405;81
20090408;20090405;5
20090409;20090404;30
20090410;20090408;2
20090412;20090410;47
20090413;20090412;49
20090414;20090413;52
20090418;20090413;17
20090420;20090418;40
20090421;20090420;39
20090422;20090421;37
20090424;20090422;35
20090427;20090422;32
20090428;20090427;55
20090440;20090428;20
20090441;20090440;3
20090479;20090404;2
20090484;20090408;5
20090485;20090409;1
20090486;20090485;11
20090489;20090486;10
20090491;20090489;5
20090499;20090491;18
20090500;20090485;1
20090518;20090500;14
20090520;20090500;10
20090522;20090520;1
20090594;20090522;14
20090595;20090594;34
20090597;20090595;13
20090598;20090597;2
20090599;20090597;19
20090603;20090595;36
20090605;20090603;3
20090607;20090605;20
20090608;20090607;19
20090616;20090608;2
20090617;20090607;1
20090621;20090608;16
20090690;20090599;20
20090728;20090022;40
20090729;20090728;23
